,roc_auc_stan,roc_auc_MLS,stan_time,MLS_time
445c7a51-fd12-41f6-8c94-a3d1edb58ddc,,,,
681fa425-1637-426a-9379-014366983a1b,,,,
035efa49-6f92-4d57-a7ed-54348891426f,,,,
bcb2e70b-12a1-48e0-863a-f868e82253bd,,,,
f772f4a2-b863-4496-a955-795cfeed65e8,,,,
783133c2-66a3-427a-9196-119ec8dd18d7,,,,
9661b0f6-7a15-4a7c-9b14-c8749cad7260,,,,
22e8dbe4-ac32-49d1-ba48-f3fb2ccddff6,,,,
2c56db2d-9554-4da5-a4b1-e648ed774883,,,,
c1f4b6a2-a17c-4ddf-88c3-eb264e253233,,,,
801e6b2c-6b4a-4103-b67e-231c5220657d,,,,
9c7ef6fd-da94-4c45-85e9-11a953e29e33,,,,
d39c0fc7-b651-40cc-89d8-95835d59b750,,,,
7eb6c4b2-28a8-4845-8308-b47089970e95,,,,
d1a9759e-eaf1-4786-bd8a-874245fe5345,,,,
764408b0-eb29-423d-af06-837cdce103c6,,,,
5ab1dc5a-5ea3-4a0e-9dd3-daab78b08303,,,,
0068cd51-f32a-4e35-ba7a-20f0f910cca4,,,,
534226bc-5e6a-41d4-ab69-049cb2adedac,,,,
464eca26-82cd-49fa-92a9-094e61ab0d65,,,,
671153a6-f20f-42cc-bddf-d8574a9c9096,,,,
f01d469d-bb65-4d6b-a06f-75217e09d10b,,,,
ed10b489-11ff-4966-8dd7-df67ffb7bce3,,,,
bad2ad26-08b3-4da1-bb43-a98cb7861879,,,,
f7ef0631-e2dd-4a75-a621-f28bffa45be5,,,,
d041f873-96c4-48d1-be86-b67132c48c19,,,,
1b180051-0264-49e9-8b7c-d9025d9a4f0c,,,,
8133c7f8-53c3-40c4-a85d-a45446933e58,,,,
96833853-99e5-4f37-9301-bd8b5d364096,,,,
42033c4f-5d0b-4de1-8543-ffbf2c1438d2,,,,
55831cb2-6b25-4a75-bbb0-fd2f06b463c4,,,,
ef52f3ab-0194-4f2b-84a3-252770e16398,,,,
5cecbf07-7074-4ed9-9a5d-de397046a94e,,,,
53866d3b-f816-48f3-bd7c-b8a580b6105a,,,,
f200e542-ed04-48a1-8b75-7d3188261006,,,,
5ad3024d-a593-4f0b-8643-a576682902b9,,,,
f28b3381-9b45-4174-b0bf-300e34bffb70,,,,
019e9226-906b-49df-b992-c050e7deb037,,,,
67936a66-169f-47e4-a2a3-4cb61318e16e,,,,
b25fe596-bfe0-4f13-8367-81cf1504067c,,,,
386dd415-0593-43bd-833c-9716df7982a6,,,,
dd70410e-c7f4-4c56-ad16-b5e063b9a246,,,,
ed46d3e7-2d29-4fad-86fc-6294f2f33034,,,,
b85ffee9-77e5-465e-ad30-5adc45995608,,,,
f2c69632-38e6-437f-a1ef-01776fb8f916,,,,
4f4f2244-6952-49e7-a040-5d02946dc7c7,,,,
5a6d72a0-fdb9-4ea6-944d-a764b0c59c18,,,,
e0343ba2-4f8f-4f7b-a672-c323ba48d5b9,,,,
54c21fa6-b1e0-4b28-bef7-17f144f831c9,,,,
c25ed19e-4dcd-420d-b7c2-6931c0b531b4,,,,
c8e45400-fb4b-469b-9a57-6766bc67abe4,,,,
9ff48a47-358b-483a-869b-4da5839bdaf2,,,,
0428c83f-e756-44f0-922d-613fbc8542ba,,,,
c2c589ba-1db4-48c2-94c0-d778c383e917,,,,
515ebd9a-7360-41ba-ae5d-e6679c9a0ed0,,,,
4a629b8d-58d7-4b8b-8f8f-ed1e309f0096,,,,
f874ac59-2adf-4a60-b875-1f050defbf70,,,,
